Item Number,Item Description,Qty ,,Price,Department Name,,,,,,,,,,,,,,,,
68,Spanish Today Book3,6,,"$2,302.00",Books,,,,,,,,,,,,,,,,
69,Spanish Today Book  4,8,,$951.00,Books,,,,,,,,,,,,,,,,
70,Spanish Today Book  5,1,,"$2,409.00",Books,,,,,,,,,,,,,,,,
71,Spanish Today Book  6,8,,"$3,300.00",Books,,,,,,,,,,,,,,,,
72,Spanish Today Book2,0,,"$2,040.00",Books,,,,,,,,,,,,,,,,
73,SPELLING  BEE,0,,"$4,699.00",Books,,,,,,,,,,,,,,,,
74,Spanish Today Book 1,4,,"$3,848.00",Books,,,,,,,,,,,,,,,,
75,Adventures  Primary Mathematics Book  2,5,,"$1,355.00",Books,,,,,,,,,,,,,,,,
76,PLASTIC TAB DIVIDERS,17,,"$1,090.00",Stationery,,,,,,,,,,,,,,,,
77,2 Quire Book,0,,"$2,310.00",Stationery,,,,,,,,,,,,,,,,
78,3 Quire Book,0,,$630.00,Stationery,,,,,,,,,,,,,,,,
79,4 Quire Book,0,,"$4,208.00",Stationery,,,,,,,,,,,,,,,,
304,Get Ready To Learn TRM3 5 YRS,11,,"$4,536.00",Books,,,,,,,,,,,,,,,,
305,INTEGRATED WORK BOOK  AG 4,8,,$253.00,Books,,,,,,,,,,,,,,,,
306,GET READY TO LEARN TERM 1 5YRS,21,,"$1,470.00",Books,,,,,,,,,,,,,,,,
307,Get Ready To Learn Transportation TRM2 5 YRS,1,,"$3,131.00",Books,,,,,,,,,,,,,,,,
308,Get Ready To Learn TRM3 5 YRS,7,,"$2,756.00",Books,,,,,,,,,,,,,,,,
309,Way to reading integrated Pre reader,7,,"$3,264.00",Books,,,,,,,,,,,,,,,,
310,The Way to Reading Book 1,9,,"$3,049.00",Books,,,,,,,,,,,,,,,,
311,The way to shapes colouring,13,,"$4,061.00",Books,,,,,,,,,,,,,,,,
312,The Way to Art - Using Colours,10,,"$1,598.00",Books,,,,,,,,,,,,,,,,
313,The way to Writing Drawing,9,,"$2,305.00",Books,,,,,,,,,,,,,,,,
314,Way to Writing book 1,6,,"$2,597.00",Books,,,,,,,,,,,,,,,,
315,The Way to Numbers,8,,"$4,637.00",Books,,,,,,,,,,,,,,,,
316,Rainbow Readers Family & Friends Yr 1 Reader 1,4,,"$3,692.00",Books,,,,,,,,,,,,,,,,
14,Leaning the Smart Way,0,,"$3,367.00",Books,,,,,,,,,,,,,,,,
15,Integrated Reader 1,10,,"$4,648.00",Books,,,,,,,,,,,,,,,,
16,Reading the Smart Way,11,,"$2,656.00",Books,,,,,,,,,,,,,,,,
17,Integrated Reader 2,21,,"$4,178.00",Books,,,,,,,,,,,,,,,,
18,FUN WITH READING,1,,"$1,621.00",Books,,,,,,,,,,,,,,,,
19,Fun With Language Arts Workbook,10,,"$3,820.00",Books,,,,,,,,,,,,,,,,
20,INTEGRATED MATHEMATICS WORKBOOK GRADE 2,14,,"$4,895.00",Books,,,,,,,,,,,,,,,,
21,INTEGRATED PHONICS WORKBOOK GRADE 2,30,,"$3,342.00",Books,,,,,,,,,,,,,,,,
22,Learning to Read 3 Years Old,0,,"$2,999.00",Books,,,,,,,,,,,,,,,,
23,ALL AROUND US LETTERS & SOUND,0,,$431.00,Books,,,,,,,,,,,,,,,,
24,LEARNING Spanish The Smart Way Level 1,1,,$881.00,Books,,,,,,,,,,,,,,,,
25,Sunbeam Language Art  WorkK BooK 3,19,,$356.00,Books,,,,,,,,,,,,,,,,
136,PRIME MATH COURSE BOOK 5,0,,"$4,227.00",Books,,,,,,,,,,,,,,,,
137,Expolor MATHEMATICS WORK BOOK 5,0,,"$3,073.00",Books,,,,,,,,,,,,,,,,
138,PRIME MATH PRACTICE BK 5,5,,"$3,243.00",Books,,,,,,,,,,,,,,,,
139,Explore Mathmatics Student Book 5,5,,"$1,866.00",Books,,,,,,,,,,,,,,,,
140,REDISCOVERING MATHS GR 5,13,,"$3,941.00",Books,,,,,,,,,,,,,,,,
141,MATHEMATICS WORK BOOK 5,14,,$836.00,Books,,,,,,,,,,,,,,,,
142,LANGUAGE ARTS WORKBOOK 5,14,,"$2,163.00",Books,,,,,,,,,,,,,,,,
143,CROSSING THE LINE Rdr E,9,,"$3,921.00",Books,,,,,,,,,,,,,,,,
144,RAINBOW READERS GRADE 5,31,,"$1,926.00",Books,,,,,,,,,,,,,,,,
145,Mind Builders,23,,"$4,171.00",Books,,,,,,,,,,,,,,,,
146,Effective Communication GR 5 & 6,2,,"$4,239.00",Books,,,,,,,,,,,,,,,,
147,Carlong Relogion Education 5&6,28,,"$1,967.00",Books,,,,,,,,,,,,,,,,
148,CARIBBEAN NEIGHBOURS YEAR 5,4,,"$4,993.00",Books,,,,,,,,,,,,,,,,
149,READING & WRITING  GR 5,4,,"$3,780.00",Books,,,,,,,,,,,,,,,,
26,Mathematics Grade 1 Work Book,11,,"$4,532.00",Books,,,,,,,,,,,,,,,,
27,"Learning The Smart Way
Numerals",0,,$281.00,Books,,,,,,,,,,,,,,,,
28,LEARNING SPANISH LEVEL 4,14,,$113.00,Books,,,,,,,,,,,,,,,,
29,Living in Jamaica,0,,"$1,703.00",Books,,,,,,,,,,,,,,,,
30,Integrated Religious Education WORk BOOk 4,21,,"$2,784.00",Books,,,,,,,,,,,,,,,,
31,Integrated Religious Education WkBk 5,10,,"$2,405.00",Books,,,,,,,,,,,,,,,,
32,Integrated Religious Education WkBk 6,10,,$965.00,Books,,,,,,,,,,,,,,,,
33,Tape it Mounting tape,5,,"$2,614.00",Stationery,,,,,,,,,,,,,,,,
34,Inte Approach Science BK 4 PEP,41,,"$3,119.00",Books,,,,,,,,,,,,,,,,
35,RAINBOW READERES  WORKBOOK GRADE 1,13,,"$4,184.00",Books,,,,,,,,,,,,,,,,
36,REGGAE READERS WORKBOOK 1,23,,"$2,819.00",Books,,,,,,,,,,,,,,,,
37,REDISCOVERING MATHS GRADE 1,2,,"$4,900.00",Books,,,,,,,,,,,,,,,,
38,"PEOPLE PL,ACE & THINGS
GRADE 2 WORKBOOK",5,,$812.00,Books,,,,,,,,,,,,,,,,
467,Pencil Stabilo,2,,"$1,589.00",Stationery,,,,,,,,,,,,,,,,
494,Pritt Stick Office Glue Non Toxic 45G,49,,"$2,484.00",Stationery,,,,,,,,,,,,,,,,
521,CRAYOLA WASHABLE KIDS PAINT,0,,"$1,433.00",Stationery,,,,,,,,,,,,,,,,
548,SET SQUARE,0,,"$3,007.00",Stationery,,,,,,,,,,,,,,,,
575,ENVELOPE 6 X 9 WHITE,392,,"$1,521.00",Stationery,,,,,,,,,,,,,,,,
602,MASKING TAPE 2'',0,,"$4,433.00",Stationery,,,,,,,,,,,,,,,,
629,FILE FOLDER LEGAL SIZE,648,,"$2,900.00",Stationery,,,,,,,,,,,,,,,,
656,3 1/8 MACHINE ROLL no sheen WHITE,29,,"$4,271.00",Stationery,,,,,,,,,,,,,,,,
683,LITTLE TREASURY LULLABIES,0,,"$1,562.00",Books,,,,,,,,,,,,,,,,
710,FIVE MINUTE STORIES,0,,"$1,338.00",Books,,,,,,,,,,,,,,,,
737,RING BINDER 3.0,0,,"$3,701.00",Stationery,,,,,,,,,,,,,,,,
764,FOAM PATTERN,1,,"$4,924.00",CRAFT,,,,,,,,,,,,,,,,
791,FELT ASSORTED,0,,"$4,891.00",Stationery,,,,,,,,,,,,,,,,
818,HEART,2,,"$4,954.00",CRAFT,,,,,,,,,,,,,,,,
1008,KHAKI SHIRT 4,6,,"$4,049.00",Uniform,,,,,,,,,,,,,,,,
1024,ID HOLDER,37,,$902.00,Stationery,,,,,,,,,,,,,,,,
1025,THE  FOX & THE STARK,0,,$510.00,Books,,,,,,,,,,,,,,,,
1026,Pearl Sharps ASSORTED,151,,$271.00,Stationery,,,,,,,,,,,,,,,,
1030,zerox L/S paper,0,,$393.00,Stationery,,,,,,,,,,,,,,,,
1034,PROFESSION,12,,"$4,253.00",Stationery,,,,,,,,,,,,,,,,
1036,1 subject book,0,,"$4,334.00",Books,,,,,,,,,,,,,,,,
1056,fasteners 1/2,5,,"$4,392.00",Stationery,,,,,,,,,,,,,,,,
1057,Brilliant Laser Copy paper l/S,0,,"$1,309.00",Stationery,,,,,,,,,,,,,,,,
1060,Sticky Note 3 x 3 pink,0,,"$2,908.00",Stationery,,,,,,,,,,,,,,,,
1087,Studmark foam mat a-z,0,,"$3,927.00",Stationery,,,,,,,,,,,,,,,,
1090,Mathematics K2,3,,"$4,527.00",Books,,,,,,,,,,,,,,,,
1117,Bond Verbal Reasoning Bk2 9-10,0,,"$1,766.00",Books,,,,,,,,,,,,,,,,
441,DECORATIVE TAPE  ASSORTED,14,,$917.00,Stationery,,,,,,,,,,,,,,,,
468,Pencil Stabilo,20,,"$2,560.00",Stationery,,,,,,,,,,,,,,,,
495,Pritt Glue 22G,6,,"$1,980.00",Stationery,,,,,,,,,,,,,,,,
522,MAPED CRAFT SCISSORS,7,,"$2,903.00",Stationery,,,,,,,,,,,,,,,,
549,31/45/60 DEG SET,1,,"$1,655.00",Stationery,,,,,,,,,,,,,,,,
576,ENVELOPE 10 X 13,837,,"$3,845.00",Stationery,,,,,,,,,,,,,,,,
603,MASKIN 3/4'',0,,"$1,558.00",Stationery,,,,,,,,,,,,,,,,
630,SALE STUDENT BOOK,3,,"$2,536.00",Stationery,,,,,,,,,,,,,,,,
657,3/4 LBS CARD BOARD,2,,"$3,945.00",Stationery,,,,,,,,,,,,,,,,
684,SOCCER AND NONFICTION,0,,"$3,961.00",Books,,,,,,,,,,,,,,,,
711,STORIES FOR 5 YEARS,0,,$348.00,Books,,,,,,,,,,,,,,,,
738,3'' RING BINDER,4,,$451.00,Stationery,,,,,,,,,,,,,,,,
765,GLITTER FOAMY FIGURES,9,,"$2,731.00",CRAFT,,,,,,,,,,,,,,,,
792,FLOWERS WITH STEM 4 TYPE,2,,"$3,420.00",CRAFT,,,,,,,,,,,,,,,,
39,Students Companion  Pratice Bk,4,,"$1,907.00",Books,,,,,,,,,,,,,,,,
40,Gateway to Numeracy MATHS BK 1,0,,"$1,448.00",Books,,,,,,,,,,,,,,,,
41,Adventres Primary  Maths Book 1,4,,"$3,647.00",Books,,,,,,,,,,,,,,,,
42,GRADE 1 INTEGRATED  PHONICS WORKBOOK,18,,"$1,421.00",Books,,,,,,,,,,,,,,,,
43,Critical  Thinking Step to PEP Workbook,3,,"$2,310.00",Books,,,,,,,,,,,,,,,,
44,Language Tree Student Book 1,18,,"$4,132.00",Books,,,,,,,,,,,,,,,,
45,PRIME MATHEMATICS  COURSE BK  1,1,,"$1,265.00",Books,,,,,,,,,,,,,,,,
46,CARIB INTEGRATED  READERS BOOK 2,2,,"$2,757.00",Books,,,,,,,,,,,,,,,,
47,Regger Readers WorkBook 2,1,,"$4,260.00",Books,,,,,,,,,,,,,,,,
48,RAINBOW READERS GRADE 2,42,,"$4,476.00",Books,,,,,,,,,,,,,,,,
49,Grade 2 Language Art  WKb2,16,,"$1,603.00",Books,,,,,,,,,,,,,,,,
50,LANGUAGE TREE STUDENT BOOK 2,3,,"$2,515.00",Books,,,,,,,,,,,,,,,,
51,Critical Thinking Work Book  Grade 2,13,,$122.00,Books,,,,,,,,,,,,,,,,
1134,Drawing Book Med,1,,"$3,625.00",Stationery,,,,,,,,,,,,,,,,
1137,CHEETAH SCIENCE PEP,1,,"$1,743.00",Books,,,,,,,,,,,,,,,,
1154,BAG,7,,"$4,559.00",Books,,,,,,,,,,,,,,,,
1168,C.R.C CSEC CHEMISTRY,5,,"$2,551.00",Books,,,,,,,,,,,,,,,,
1195,Jumbo Natural Craft Sticks,0,,$936.00,Stationery,,,,,,,,,,,,,,,,
1218,A+ Designed Fabric Pencil Pouch,1,,"$4,381.00",Books,,,,,,,,,,,,,,,,
1223,Exploring Biology Grade 9 WB,8,,"$4,000.00",Books,,,,,,,,,,,,,,,,
1225,HSB For The Tropics Wkb,0,,"$3,820.00",Books,,,,,,,,,,,,,,,,
1229,shane,0,,"$3,665.00",Books,,,,,,,,,,,,,,,,
1238,Oxford Primary Dictionary H/C,3,,"$1,779.00",Books,,,,,,,,,,,,,,,,
1244,STUDMARK POSTER PAINT 6,7,,"$3,815.00",Stationery,,,,,,,,,,,,,,,,
1252,"the adventures of ""BIG RAT""",2,,"$3,182.00",Books,,,,,,,,,,,,,,,,
1495,Alcatel Tablet 7.7'',0,,"$4,996.00",Stationery,,,,,,,,,,,,,,,,
1497,B660 Bostittch Stapler,0,,$594.00,Stationery,,,,,,,,,,,,,,,,
1504,Small foam shapes,1,,"$3,812.00",Stationery,,,,,,,,,,,,,,,,
1530,Our Daily Bread,6,,"$1,730.00",Books,,,,,,,,,,,,,,,,
1531,sticky note 3 x3 yellow,0,,"$4,517.00",Stationery,,,,,,,,,,,,,,,,
1543,Studmark Wooden Clipboard,0,,"$1,133.00",Stationery,,,,,,,,,,,,,,,,
1546,INVOICE CARBON [REX],18,,"$2,560.00",Stationery,,,,,,,,,,,,,,,,
1548,PADDED  ENVELOPE 6 X9,18,,"$2,573.00",Stationery,,,,,,,,,,,,,,,,
1555,Say with Sam abc Colouring,1,,$610.00,Books,,,,,,,,,,,,,,,,
1556,WORD SEARCH,1,,"$3,283.00",Books,,,,,,,,,,,,,,,,
1566,construction paper ischolar,0,,$650.00,Stationery,,,,,,,,,,,,,,,,
1567,studmark staples standard,1,,"$4,333.00",Stationery,,,,,,,,,,,,,,,,
442,DECORATIVE TAPE FROZEN,8,,"$3,241.00",Stationery,,,,,,,,,,,,,,,,
469,0.7 LEADS,42,,$367.00,Stationery,,,,,,,,,,,,,,,,
496,Pritt Glue 11G,17,,"$4,099.00",Stationery,,,,,,,,,,,,,,,,
523,ZIG ZAG SCISSOR,17,,"$4,240.00",Stationery,,,,,,,,,,,,,,,,
550,Smart Smock Apron,9,,"$2,384.00",Stationery,,,,,,,,,,,,,,,,
577,ENVELOPE #10 BROWN,2312,,"$4,327.00",Stationery,,,,,,,,,,,,,,,,
604,NEON DUCK TAPE,1,,$481.00,Stationery,,,,,,,,,,,,,,,,
631,SCAN DOCUMENT PER PAGE,953,,$808.00,SERVICE,,,,,,,,,,,,,,,,
658,BRISTOL SHEETS,27,,"$1,761.00",Stationery,,,,,,,,,,,,,,,,
685,Cartridge Paper Assorted Colours,438,,"$1,035.00",Stationery,,,,,,,,,,,,,,,,
712,MAGICAL  FAIRY TALES,0,,"$3,020.00",Books,,,,,,,,,,,,,,,,
739,2'' RING BINDER BLUE,3,,"$2,108.00",Stationery,,,,,,,,,,,,,,,,
766,BUTTERFLY,1,,"$2,913.00",CRAFT,,,,,,,,,,,,,,,,
793,STARS SMILE,3,,"$3,177.00",CRAFT,,,,,,,,,,,,,,,,
262,PRACTIC MULITIPLE CHOICE CSEC BIOLOGY,3,,"$1,635.00",Books,,,,,,,,,,,,,,,,
263,PRACTIC MULITIPLE CHOICE CSEC CHEMISTRY,4,,"$3,611.00",Books,,,,,,,,,,,,,,,,
264,COLLINS CSEC POB,3,,"$3,640.00",Books,,,,,,,,,,,,,,,,
265,Collins Chemistry WRB CSEC,5,,"$1,075.00",Books,,,,,,,,,,,,,,,,
266,COLLINS CSEC PHYSICS,9,,"$4,318.00",Books,,,,,,,,,,,,,,,,
267,Exploring Science Workbook 8,8,,"$2,227.00",Books,,,,,,,,,,,,,,,,
268,Concise Revison Science CSEC,2,,$453.00,Books,,,,,,,,,,,,,,,,
269,Exploring Science Workbok 9,10,,"$3,194.00",Books,,,,,,,,,,,,,,,,
270,COLLINS CSEC HUMAN  AND SOCIAL BIOLOGY,5,,"$3,786.00",Books,,,,,,,,,,,,,,,,
271,A VOLAR WORKBOOK 2,2,,$277.00,Books,,,,,,,,,,,,,,,,
272,A VOLAR WORKBOOK 1,2,,"$1,883.00",Books,,,,,,,,,,,,,,,,
273,A VOLAR WORKBOOK 3,1,,"$4,057.00",Books,,,,,,,,,,,,,,,,
274,A VOLAR PUPIL BOOK 3,2,,$179.00,Books,,,,,,,,,,,,,,,,
275,A VOLAR PUPIL BOOK 4,2,,$759.00,Books,,,,,,,,,,,,,,,,
108,SeekHARD COVER  70 SHTS,21,,"$4,823.00",Books,,,,,,,,,,,,,,,,
109,"SEEK HARD COVER  100
SHTS",1,,"$1,145.00",Books,,,,,,,,,,,,,,,,
110,MISSION SCIENCE WORKBOOK BK 4,24,,$399.00,Books,,,,,,,,,,,,,,,,
111,New Integ  Phonics WKBK 4,22,,"$4,943.00",Books,,,,,,,,,,,,,,,,
112,INTEGRATED SPANISH WORKBOOK 4,6,,"$2,191.00",Books,,,,,,,,,,,,,,,,
113,RELIGIOUS EDUCATION 4,20,,"$2,044.00",Books,,,,,,,,,,,,,,,,
114,NEW INTE APP SOCIAL STUDIES 4,2,,"$3,932.00",Books,,,,,,,,,,,,,,,,
115,JAMAICA PRIMARY SOCIAL STUDIES WORKBOOK4,28,,"$4,634.00",Books,,,,,,,,,,,,,,,,
116,Language Arts Performance Task Grade 4,7,,"$1,655.00",Books,,,,,,,,,,,,,,,,
117,"Mastering Comprehen Skills 
Standard 2",19,,$394.00,Books,,,,,,,,,,,,,,,,
118,MISSION SCIENCE Student's Book  4,10,,"$4,305.00",Books,,,,,,,,,,,,,,,,
119,"MATHEMATICS MADE REAL
BOOK 2",9,,"$1,675.00",Books,,,,,,,,,,,,,,,,
120,BURIED TREASURE RDR C,6,,"$2,468.00",Books,,,,,,,,,,,,,,,,
121,RAINBOW READERS 4,29,,"$3,293.00",Books,,,,,,,,,,,,,,,,
1641,Sm sliver sharpener,51,,"$4,878.00",Stationery,,,,,,,,,,,,,,,,
1642,4 D RING BINDER,0,,$686.00,Stationery,,,,,,,,,,,,,,,,
1645,Consonant Blends,6,,"$1,816.00",Books,,,,,,,,,,,,,,,,
1651,Deli Mate 0.5 BlUE,6,,"$3,465.00",Stationery,,,,,,,,,,,,,,,,
1669,Grd 8 Mathematics Wkb 2,0,,"$3,899.00",Books,,,,,,,,,,,,,,,,
1670,English For All Book 1,4,,"$4,486.00",Books,,,,,,,,,,,,,,,,
1675,Bic Pens Assorted,424,,"$1,511.00",Stationery,,,,,,,,,,,,,,,,
1677,WIMPY KID HARD LUCK,2,,"$4,533.00",Books,,,,,,,,,,,,,,,,
1704,Jamaica S/S Atlas Workbook,11,,"$4,942.00",Books,,,,,,,,,,,,,,,,
1713,Transparent ruler 12'',41,,"$1,806.00",Stationery,,,,,,,,,,,,,,,,
1714,U-touch Meachanical Pencil 0.7,55,,"$2,162.00",Stationery,,,,,,,,,,,,,,,,
1733,Stabilo Superme Eraser,29,,"$1,388.00",Stationery,,,,,,,,,,,,,,,,
1532,sticky note 3 x3 Pink,0,,$480.00,Stationery,,,,,,,,,,,,,,,,
1547,Deli2 Hole Pencil Sharpner 0526,41,,"$3,906.00",Stationery,,,,,,,,,,,,,,,,
1549,PADDED ENVELOPE 8 1/2 X 12,22,,"$1,291.00",Stationery,,,,,,,,,,,,,,,,
1557,Inner City Girl,5,,"$2,415.00",Books,,,,,,,,,,,,,,,,
1568,CARTRIDGE PAPER NEON PINK,116,,"$2,689.00",Stationery,,,,,,,,,,,,,,,,
1569,Felt Flower,1,,$952.00,Stationery,,,,,,,,,,,,,,,,
1586,SELF ADHESIVE LABLE,1,,"$3,537.00",Stationery,,,,,,,,,,,,,,,,
1597,ZIPPER BIBLE SMALL,0,,"$1,439.00",Books,,,,,,,,,,,,,,,,
1600,Pretty PRINCESS 123,3,,$448.00,Books,,,,,,,,,,,,,,,,
1615,GLUE STICK SHORT HOT MELT,180,,"$2,159.00",Stationery,,,,,,,,,,,,,,,,
1623,STAPLER  STUDMARK 4300,3,,"$1,394.00",Stationery,,,,,,,,,,,,,,,,
1631,LETTER SIZE  PAD,12,,$689.00,Stationery,,,,,,,,,,,,,,,,
344,Little Stars Kindergarden Math 1A,5,,"$1,977.00",Books,,,,,,,,,,,,,,,,
345,LITTLE STAR  PHONICS WBK 1 A,1,,"$3,968.00",Books,,,,,,,,,,,,,,,,
346,Little Stars jumbo Preschool,10,,"$3,242.00",Books,,,,,,,,,,,,,,,,
347,REDISCOVERING MATH KINDER 5,3,,$211.00,Books,,,,,,,,,,,,,,,,
348,Learning TO WRITE The Smart Way to write,10,,$776.00,Books,,,,,,,,,,,,,,,,
349,All Around Us Shapes & Numerals,0,,"$2,404.00",Books,,,,,,,,,,,,,,,,
350,Right Start Writing,5,,"$1,652.00",Books,,,,,,,,,,,,,,,,
351,Right Start Mathematics B,3,,"$1,417.00",Books,,,,,,,,,,,,,,,,
352,Right Start Language Arts,7,,$688.00,Books,,,,,,,,,,,,,,,,
353,Right Start In My world,14,,"$2,020.00",Books,,,,,,,,,,,,,,,,
354,Right Start  Reader,1,,"$4,452.00",Books,,,,,,,,,,,,,,,,
355,Right Start Integrated Reader B,6,,"$4,224.00",Books,,,,,,,,,,,,,,,,
356,"Right Start Art, Colours & Shapes",16,,"$2,076.00",Books,,,,,,,,,,,,,,,,
122,Language Tree Student Book 4,6,,"$4,853.00",Books,,,,,,,,,,,,,,,,
123,PRIME MATH COURSE BOOK4,2,,$817.00,Books,,,,,,,,,,,,,,,,
124,INTEGRATED ASSESSMENT PAPERS LANGUAGE ARTS 4,15,,"$3,234.00",Books,,,,,,,,,,,,,,,,
125,GRADE 4 LANGUAGE ARTS WBK (HAVE FUN WITH PEP),3,,"$4,387.00",Books,,,,,,,,,,,,,,,,
126,Language Tree  WORKBOOK 4,17,,"$1,389.00",Books,,,,,,,,,,,,,,,,
127,READING & WRITING  GRADE 4,3,,$354.00,Books,,,,,,,,,,,,,,,,
128,Active Engh Success Course Bk 4,6,,"$1,758.00",Books,,,,,,,,,,,,,,,,
129,ABILITY TEST GRADE 4 PATHWAY TO PEP,7,,"$1,520.00",Books,,,,,,,,,,,,,,,,
130,LEAP AND BOUNDS IN LITERACY  FOR JUNIORS GRADE 4,9,,"$3,265.00",Books,,,,,,,,,,,,,,,,
131,PEP PERFORMANCE TASK MATH 5,14,,"$1,646.00",Books,,,,,,,,,,,,,,,,
132,New Inte App Science 5,0,,"$4,000.00",Books,,,,,,,,,,,,,,,,
133,EMAIL (OPEN),891,,$203.00,SERVICE,,,,,,,,,,,,,,,,
134,"Language Arts Performance Task  Prepping for PEP
GRADE 5",15,,"$1,719.00",Books,,,,,,,,,,,,,,,,
135,Carlong Revision Guide Junior Mathematics,7,,"$1,421.00",Books,,,,,,,,,,,,,,,,
94,CARLONG Let's learn to write Cursive,0,,"$2,697.00",Books,,,,,,,,,,,,,,,,
95,Language Tree,0,,"$1,127.00",Books,,,,,,,,,,,,,,,,
96,READER  LEARNING IS FUN GRADE 1,0,,"$2,621.00",Books,,,,,,,,,,,,,,,,
97,Let's Learn to Write Scrip,0,,"$4,628.00",Books,,,,,,,,,,,,,,,,
98,PRIME MATH COURSE BK 3,2,,$155.00,Books,,,,,,,,,,,,,,,,
99,SUMBEAN INTEGRATED MATHEMATICS WORKBOOK    GRADE 3,12,,"$2,134.00",Books,,,,,,,,,,,,,,,,
100,WHAT A FRIGHT A,6,,"$2,629.00",Books,,,,,,,,,,,,,,,,
101,Regger Reader WKBK 3,4,,"$4,174.00",Books,,,,,,,,,,,,,,,,
102,Caribbean Integrated Readers wkbk 3,4,,"$2,340.00",Books,,,,,,,,,,,,,,,,
103,ALI BABA B,1,,"$1,830.00",Books,,,,,,,,,,,,,,,,
104,INTREGRATED READER 3,9,,$168.00,Books,,,,,,,,,,,,,,,,
105,Gerade 3 Integrated  Mathematics WKBK,14,,"$4,943.00",Books,,,,,,,,,,,,,,,,
106,New Car. Junior Reader 3,10,,$290.00,Books,,,,,,,,,,,,,,,,
107,SEEK HARD COVER 40 SHT,38,,$432.00,Books,,,,,,,,,,,,,,,,
192,OLD IRON BLUE & MIGHTY DREAD,15,,"$2,577.00",Books,,,,,,,,,,,,,,,,
193,Bite In 1,1,,"$1,521.00",Books,,,,,,,,,,,,,,,,
194,Bite In 3,2,,"$2,008.00",Books,,,,,,,,,,,,,,,,
195,Over Our Way,12,,"$2,423.00",Books,,,,,,,,,,,,,,,,
196,The Enchanted Island,5,,"$4,725.00",Books,,,,,,,,,,,,,,,,
197,Animal Farm,0,,$316.00,Books,,,,,,,,,,,,,,,,
198,The Sun Salutea You,5,,"$3,220.00",Books,,,,,,,,,,,,,,,,
199,Come back old iron Blue,8,,"$4,153.00",Books,,,,,,,,,,,,,,,,
200,TALES FRM SHAKESPEARE,11,,"$2,806.00",Books,,,,,,,,,,,,,,,,
201,OF MICE & MEN,6,,"$1,076.00",Books,,,,,,,,,,,,,,,,
202,CLOUDS IN MY SKY,1,,"$2,837.00",Books,,,,,,,,,,,,,,,,
203,Humming-Bird Tree,1,,"$4,586.00",Books,,,,,,,,,,,,,,,,
204,Oliver Twist,0,,"$2,566.00",Books,,,,,,,,,,,,,,,,
