SKU,Item Number,Item Description,Qty,Price,Department Name,Category,Item Type,Store
1017,17,Dell Inspiron 15 5584 Laptop (8th Gen Core i5/ 8GB/ 2TB/ Win10/ 2GB Graph),24,"$79,256 ",Electronics,Computers,Laptops,Acrostra
1018,18,Acer Predator Triton 700 (NH.Q2KSI.002) Gaming Laptop (7th Gen Core i7/ 16GB/ 1TB SSD/ Win10/ 6GB Graph),12,"$121,417 ",Electronics,Computers,Laptops,Acrostra
1019,19,Lenovo Ideapad S540 (81NE00AQIN) Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Win10/ 2GB Graph),25,"$79,837 ",Electronics,Computers,Laptops,Acrostra
1020,20,MSI Modern 14 A10RB-651IN Laptop (10th Gen Core i7/ 8GB/ 512GB SSD/ Win10/ 2GB Graph),13,"$66,846 ",Electronics,Computers,Laptops,Acrostra
1021,21,TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,16,"$8,419 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1022,22,GOLREX Bluetooth Headphones Wireless Earbuds with Wireless Charging Case & Dual LED Battery Display 36Hrs Playback Over-Ear Waterproof Earphones with Earhooks Headset Built-in Mic for Sport Black,28,"$3,002 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1023,23,Beats Studio Buds Totally Wireless Noise Cancelling Earphones - Black (Renewed),24,"$3,660 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1024,24,"Bluetooth Headphones, Deep Bass Wireless Running Headphones w/16 Hrs Playtime, Bluetooth Earbuds in-Ear w/Earhooks, IPX7 Waterproof Sports Earphones with Microphone for Calls",24,"$8,276 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1025,25,"Wireless Trackball Mouse, Rechargeable Ergonomic Mouse, Easy Thumb Control, Precise & Smooth Tracking, 3 Device Connection (Bluetooth or USB), Compatible for PC, Laptop, iPad, Mac, Windows, Android",18,"$4,213 ",Electronics,Mice,Wireless,Acrostra
1026,26,Echo (4th Gen) | Charcoal with Sengled Bluetooth Color bulb | Alexa smart home starter kit,24,"$6,373 ",Electronics,Personal Assistants,,Acrostra
1027,27,Poly Voyager 5200 Bluetooth Headset (Plantronics) - Single-Ear (Mono) Bluetooth Earpiece with Noise Canceling Mic - Cell/Mobile Phone Headset,18,"$4,709 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1028,28,"Bluetooth Headset, Sarevile Bluetooth Trucker Headset with Upgraded Microphone Noise Canceling for Trucker, Hand Free Wireless Headset with Adapter for Office Meeting. Widely Compatible for Computer",22,"$3,452 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1029,29,"Earbuds Headphones Wired Stereo Sound Earphones for iPhone with Microphone and Volume Control,Active Noise Cancellation Compatible with iPhone 13 12 11 8 7Plus Pro Max X XS Max (White)",25,"$6,919 ",Electronics,Headphones and Earphones,Wired,Acrostra
1030,30,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",12,"$4,905 ",Electronics,Headphones and Earphones,Wired,Acrostra
1031,31,OneOdio Wired Over Ear Headphones Studio Monitor & Mixing DJ Stereo Headsets with 50mm Neodymium Drivers and 1/4 to 3.5mm Audio Jack for AMP Computer Recording Phone Piano Guitar Laptop - Black,13,"$7,935 ",Electronics,Headphones and Earphones,Wired,Acrostra
1032,32,Apple EarPods with Lightning Connector - White,21,"$8,360 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1033,33,"Panasonic Headphones, Lightweight Over the Ear Wired Headphones with Clear, High-Quality Sound and XBS for Extra Bass, Long Cord, 3.5mm Jack for Phones and Laptops ? RP-HT161-K (Black)",19,"$5,307 ",Electronics,Headphones and Earphones,Wired,Acrostra
1034,34,"Wireless Headphones, Otium Bluetooth Running Headphones Sports Earbuds, IPX7 Waterproof Stereo Earphones for Gym Running 10 Hours Playtime Noise Cancelling Headsets",20,"$4,677 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1035,35,Apple AirPods (2nd Generation),17,"$7,063 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1036,36,"Gaming Headset with Microphone, Gaming Headphones Stereo 7.1 Surround Sound PS4 Headset 50mm Drivers, 3.5mm Audio Jack Over Ear Headphones Wired for PC Switch Playstation Xbox PS5 Laptop",20,"$8,574 ",Electronics,Headphones and Earphones,Wired,Acrostra
1037,37,"Powerbeats Pro Wireless Earbuds - Apple H1 Headphone Chip, Class 1 Bluetooth Headphones, 9 Hours of Listening Time, Sweat Resistant, Built-in Microphone - Black",10,"$7,829 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1038,38,Apple AirPods Pro,20,"$4,502 ",Electronics,Headphones and Earphones,Wireless,Acrostra
1039,39,"GRV Smart Watch for iOS and Android Phones, Watches for Men Women IP68 Waterproof Smartwatch Fitness Tracker Watch with Heart Rate/Sleep Monitor Steps Calories Counter (Pink)",29,"$15,597 ",Electronics,Watches,Smartwatches,Acrostra
1040,40,"Apple Watch Series˜7 [GPS 41mm] Smart Watch w/Blue Aluminum Case with Abyss Blue Sport Band. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display, Water Resistant",19,"$13,061 ",Electronics,Watches,Smartwatches,Acrostra
1041,41,"Samsung Electronics Galaxy Watch 4 44mm Smartwatch with ECG Monitor Tracker for Health Fitness Running Sleep Cycles GPS Fall Detection Bluetooth US Version, Black",30,"$11,066 ",Electronics,Watches,Smartwatches,Acrostra
1042,42,"Samsung Electronics Galaxy Watch 4 Classic 46mm Smartwatch with ECG Monitor Tracker for Health Fitness Running Sleep Cycles GPS Fall Detection Bluetooth US Version, Black (Renewed)",25,"$8,504 ",Electronics,Watches,Smartwatches,Acrostra
1043,43,"Donerton Smart Watch, Fitness Tracker for Android Phones, Fitness Tracker with Heart Rate and Sleep Monitor, Activity Tracker with IP67 Waterproof Pedometer Smartwatch with Step Counter for Women Men",21,"$10,797 ",Electronics,Watches,Smartwatches,Acrostra
1044,44,"Choiknbo Smart Watch, Fitness Tracker SmartWatch for Android/ iOS Phones, 1.69"" Full Touch Screen with Heart Rate Monitor, Step Counter, IP68 Waterproof Smart Watches for Man/ Women",14,"$3,595 ",Electronics,Watches,Smartwatches,Acrostra
1045,45,"(Renewed) Apple Watch Series 3 (GPS + Celluar, 42MM) - Space Gray Aluminum Case with Black Sport Band",30,"$5,459 ",Electronics,Watches,Smartwatches,Acrostra
1046,46,"Smart Watch for Women, AGPTEK Smartwatch for Android and iOS Phones IP68 Waterproof Activity Tracker with Full Touch Color Screen Heart Rate Monitor Pedometer Sleep Monitor, Pink, LW11",16,"$9,010 ",Electronics,Watches,Smartwatches,Acrostra
1047,47,"Amazfit T-Rex Pro Smart Watch with GPS, Outdoor Fitness Watch for Men, Military Standard Certified, 100+ Sports Modes, 10 ATM Waterproof, 18 Day Battery Life, Blood Oxygen Heart Rate Monitor, Gray",11,"$10,894 ",Electronics,Watches,Smartwatches,Acrostra
1048,48,"Smart Watch (Answer/Make Call), IP67 Waterproof Fitness Watch with Blood Pressure Heart Rate SpO2 Sleep Tracker Voice Control, Sports Smart Watches for Women Men for Android iOS Phones (Black)",28,"$8,007 ",Electronics,Watches,Smartwatches,Acrostra
1049,49,Apple Pencil (2nd Generation),25,"$15,842 ",Electronics,Assistive Devices,Pencils,Acrostra
1050,50,"iPhone Charger, TAKAGI Lightning Cable 3PACK 6FT Nylon Braided USB Charging Cable High Speed Data Sync Transfer Cord Compatible with iPhone 13/12/11 Pro Max/XS MAX/XR/XS/X/8/7/Plus/6S/6/SE/5S/iPad",19,"$15,897 ",Electronics,Phone Accessories,Chargers and Cables,Acrostra
1051,51,Apple Lightning to 3.5 mm Headphone Jack Adapter,11,"$6,994 ",Electronics,Phone Accessories,Chargers and Cables,Acrostra
1052,52,"Ailun 2 Pack Screen Protector Compatible for iPhone 13 Pro Max [6.7 inch] Display 2021 with 2 Pack Tempered Glass Camera Lens Protector,[9H Hardness]-HD",28,"$6,029 ",Electronics,Phone Accessories,Screen Protectors,Acrostra
1053,53,"Full Motion TV Monitor Wall Mount Bracket Articulating Arms Swivels Tilts Extension Rotation for Most 13-42 Inch LED LCD Flat Curved Screen TVs & Monitors, Max VESA 200x200mm up to 44lbs by Pipishell",29,"$14,046 ",Electronics,TVs and Monitors,Wall Mount,Acrostra
1054,54,"SAMSUNG EVO Select Micro SD-Memory-Card + Adapter, 256GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME256KA/AM)",14,"$15,489 ",Electronics,Peripheral Devices,Storage Devices,Acrostra
1055,55,"SanDisk 128GB Extreme PRO SDXC UHS-I Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXY-128G-GN4IN",24,"$14,086 ",Electronics,Peripheral Devices,Storage Devices,Acrostra
1056,56,"iPhone Charger,ZUQIETA 3Pack (Apple MFi Certified) Lightning Cable Data Sync Charging Cords with 3Pack USB Wall Charger Travel Plug Adapter Compatible iPhone 12 Pro/11 Pro/Xs/XR/X/8/8Plus and More",26,"$19,761 ",Electronics,Phone Accessories,Chargers and Cables,Acrostra
1057,57,"CASEKOO Crystal Clear Designed for iPhone 13 Pro Case, [Not Yellowing] [Military Drop Protection] Shockproof Protective Phone Case 6.1 inch 2021 (Clear)",25,"$8,197 ",Electronics,Phone Accessories,Cases,Acrostra
1058,58,"Portable 40 Inch Aluminum Alloy Selfie Stick Phone Tripod with Wireless Remote Shutter Compatible with iPhone 13 12 11 pro Xs Max Xr X 8 7 6 Plus, Android Samsung Smartphone",29,"$16,219 ",Electronics,Peripheral Devices,Cameras,Acrostra
1059,59,"[2 Pack] Privacy Screen Protector for iPhone 11/XR, YMHML Tempered Glass Anti-Spy Bubble Free Case Friendly Easy Installation Film for iPhone 11/XR 6.1 Inch",17,"$9,594 ",Electronics,Phone Accessories,Screen Protectors,Acrostra
1060,60,"HyperX QuadCast S ? RGB USB Condenser Microphone for PC, PS4, PS5 and Mac, Anti-Vibration Shock Mount, 4 Polar Patterns, Pop Filter, Gain Control, Gaming, Streaming, Podcasts, Twitch, YouTube, Discord",22,"$9,838 ",Electronics,Peripheral Devices,Microphones,Acrostra
1061,61,Oontz Bluetooth Speaker | Portable Bluetooth Speakers | Small But Powerful | 100 Foot Wireless Bluetooth Range | 14 Hours Battery Life | Water Resistant (IPX5),28,"$17,491 ",Electronics,Peripheral Devices,Speakers,Acrostra
1062,62,Nulaxy Wireless in-Car Bluetooth FM Transmitter Radio Adapter Car Kit W 1.44 Inch Display Supports TF/SD Card and USB Car Charger for All Smartphones Audio Players-KM18,28,"$3,227 ",Electronics,Peripheral Devices,Bluetooth,Acrostra
1063,63,"Meeting Owl Pro - 360-Degree, 1080p HD Smart Video Conference Camera, Microphone, and Speaker (Automatic Speaker Focus & Smart Zooming and Noise Equalizing)",22,"$15,319 ",Electronics,Peripheral Devices,Cameras,Acrostra
1064,64,"Samsung Electronics Galaxy A03s Cell Phone, Factory Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display, US Version, Black",26,"$65,141 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1065,65,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,16,"$75,319 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1066,66,"Samsung Galaxy S21 FE 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, 120Hz Display, Pro Grade Camera, All Day Intelligent Battery, US Version, Graphite",18,"$93,944 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1067,67,"Samsung Galaxy A12 (32GB, 3GB) 6.5"" HD+, Quad Camera, 5000mAh Battery, Global 4G Volte Unlocked (T-Mobile, Verizon, Metro) A125U (Black) (Renewed)",29,"$33,831 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1068,68,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 48MP Camera | Silver,26,"$60,163 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1069,69,(Renewed) Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black,19,"$129,487 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1070,70,"SAMSUNG Electronics Galaxy Z Flip 3 5G Factory Unlocked Android Cell Phone US Version Smartphone Flex Mode Intuitive Camera Compact 256GB Storage US Warranty, Phantom Black",29,"$142,542 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1071,71,"(Renewed) Apple iPhone 8, 64GB, Gold - Unlocked",24,"$132,576 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1072,72,"Apple iPhone 11 Pro, US Version, 256GB, Gold - Unlocked (Renewed)",21,"$56,237 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1073,73,"(Renewed) Apple iPhone XR, US Version, 128GB, Black - Unlocked",28,"$131,665 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1074,74,"Samsung Galaxy Tab S6 Lite 10.4"", 64GB Wi-Fi Tablet Oxford Gray - SM-P610NZAAXAR - S Pen Included with Samsung Tab S6 Lite Book Cover - Oxford Gray - EF-BP610PJEGUJ (Renewed)",18,"$130,454 ",Electronics,Phones and Tablets,Tablets,Acrostra
1075,75,Samsung 10.4-Inch Galaxy Tab S6 Lite (Oxford Gray) with Cover and S-Pen (Renewed),11,"$130,578 ",Electronics,Phones and Tablets,Tablets,Acrostra
1076,76,"Evocel iPhone 11 Pro Case Magnext Series with Magnetic Back Plate for Apple iPhone 11 Pro 5.8 inch, Blue",18,"$34,161 ",Electronics,Phone Accessories,Phone Case,Acrostra
1077,77,"Apple iPhone 11, 64GB, White - Fully Unlocked (Renewed)",20,"$92,129 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1078,78,"Apple iPhone 12 Mini, 64GB, White - Fully Unlocked (Renewed)",24,"$52,805 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1079,79,"Apple iPhone SE 2nd Generation, US Version, 64GB, Black - Unlocked (Renewed)",24,"$30,596 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1080,80,"TCL 20 Pro 5G Unlocked Android Smartphone with 6.67? AMOLED FHD+ Display, 48MP OIS Quad Rear Camera System, 6GB+256GB, 4500mAh Battery with Wireless Charging, US 5G Version Cellphone, Moondust Gray",27,"$36,022 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1081,81,Apple Silicone Case (for iPhone Xs Max) - Blue Horizon,17,"$75,769 ",Electronics,Phones and Tablets,Phone Case,Acrostra
1082,82,"Apple iPhone 12 Pro Max, 256GB, Pacific Blue - Unlocked (Renewed Premium)",21,"$53,577 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1083,83,"Apple iPhone 11 Pro, 256GB, Space Gray - Fully Unlocked (Renewed Premium)",30,"$132,994 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1084,84,"Apple iPhone 11, 64GB, White - Fully Unlocked (Renewed)",24,"$49,629 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1085,85,"Apple iPhone 13, 128GB, Pink - Unlocked (Renewed)",18,"$124,443 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1086,86,"Apple iPhone 7, 32GB, Black - Unlocked (Renewed)",22,"$118,533 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1087,87,"Apple iPhone XS Max, 64GB, Gold - Unlocked (Renewed Premium)",10,"$35,391 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1088,88,"Apple iPhone 12, 64GB, Green - Unlocked (Renewed Premium)",28,"$126,403 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1089,89,"Apple iPhone Xs, 256GB, Space Gray - GSM Unlocked (Renewed Premium)",16,"$45,601 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1090,90,"Apple iPhone 8 Plus, 256GB, Space Gray - GSM Carriers (Renewed Premium)",10,"$128,027 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1091,91,"TCL 20 Pro 5G Unlocked Android Smartphone with 6.67? AMOLED FHD+ Display, 48MP OIS Quad Rear Camera System, 6GB+256GB, 4500mAh Battery with Wireless Charging, US 5G Version Cellphone, Marine Blue",30,"$59,458 ",Electronics,Phones and Tablets,Cellphone,Acrostra
1092,92,"Portable Projector with Wifi and Bluetooth for Phone - Salange 8000 LUX Mini Home Projector HD 1080P Supported for Outdoor Movies, Sync Smartphone Screen, Compatible w iPhone, TV Stick,PS5,HDMI,Laptop",25,"$92,842 ",Electronics,Peripheral Devices,Projector,Acrostra
1093,93,Apple TV MD199LL/A [NEWEST VERSION],18,"$108,464 ",Electronics,TVs and Monitors,TV,Acrostra
1094,94,Apple TV Remote,26,"$87,420 ",Electronics,TVs and Monitors,Remote,Acrostra
1095,95,"KTRIO Cell Phone Stand, Acrylic Phone Holder for Desk, Clear Phone Stand, Dock, Cradle Compatible with iPhone 13 Pro Max 11 12 XR 7 8 Plus, Samsung Galaxy, Google Pixel, Home Office Desk Accessories",24,"$85,199 ",Electronics,Phone Accessories,Stand,Acrostra
1096,96,"USB C Flash Drive 1TB USB3.0 Thumb Drive Phone Photo Stick 1TB Flash Drive Dual External StorageRichwell for Pad pro Android USB C Devices,Computers and MacBook Pro Air USB Type C Black-1TB AZ",22,"$107,795 ",Electronics,Peripheral Devices,Storage Devices,Acrostra
1097,97,"INNOCN 24 Inch Computer Monitor 2K QHD 2560x1440P, 75Hz, 100% sRGB, IPS Panel, HDMI, DP, 3.5mm, 16:9 Display Flicker Free Gaming 1440P Monitor for Home Office, VESA Mountable - 24D1Q, Black",28,"$97,360 ",Electronics,TVs and Monitors,Monitor,Acrostra
1098,98,"Soundance Laptop Stand, Aluminum Computer Riser, Ergonomic Laptops Elevator for Desk, Metal Holder Compatible with 10 to 15.6 Inches Notebook Computer, Champagne Gold with Light Pink Color",23,"$135,225 ",Electronics,Computer Accessories,Stand,Acrostra
1099,99,"Ytonet Laptop Case, 15.6 inch TSA Laptop Sleeve Water Resistant Durable Computer Carrying Case for 15.6 inch HP, Dell, Lenovo, Asus Notebook, Gifts for Men Women, Grey",10,"$65,482 ",Electronics,Computer Accessories,Protector,Acrostra
1100,Item Number,Item Description,Qty,Price,Department Name,Category,,
1101,1,PRITT GLUE 225g,0,"$2,407.00 ",Stationery,office and school supplies,,Old Harbour Books & Stationary
1102,2,Exploring Chemistry Grade 9,7,"$4,682.00 ",Books,Science ,,Old Harbour Books & Stationary
1103,3,Glitter twin pocket folder,2,"$3,665.00 ",Stationery,office and school supplies,,Old Harbour Books & Stationary
1104,4,TYPING,301,"$3,802.00 ",SERVICE,,,Old Harbour Books & Stationary
1105,5,THE HOLY BIBLE {SCHOOL},2,"$4,014.00 ",Books,Spiritual ,,Old Harbour Books & Stationary
1106,6,SINGLE LINE BOOK,5,$356.00 ,Books,Notebook,,Old Harbour Books & Stationary
1107,7,SCRAP BOOK SMALL P/M,0,"$4,492.00 ",Stationery,,,Old Harbour Books & Stationary
1108,8,COVER UP DELI,2,"$4,732.00 ",Stationery,,,Old Harbour Books & Stationary
1109,9,COLOURING THE SMART WAY{ 4 YEARS OLD },43,"$2,561.00 ",Books,Colouring ,,Old Harbour Books & Stationary
1110,10,LEARNING TO COLOUR {3 YEARS OLD},7,"$2,385.00 ",Books,Colouring ,,Old Harbour Books & Stationary
1111,11,Jplly Phonica WKBK 6,2,$824.00 ,Books,Phonics,,Old Harbour Books & Stationary
1112,12,Integrated Fun With Sounds,0,"$3,583.00 ",Books,,,Old Harbour Books & Stationary
1113,13,MEAD COMPOSITION BOOK,1252,"$1,856.00 ",Books,Notebook,,Old Harbour Books & Stationary
1114,52,Gateway to Literacy Language Arts BK2,14,"$3,794.00 ",Books,Mathematics,,Old Harbour Books & Stationary
1115,53,Gateway To Numeracy Mathematics Book 2,8,"$2,691.00 ",Books,Mathematics,,Old Harbour Books & Stationary
1116,54,Rediscovering Mathematics Grade 2,5,"$1,394.00 ",Books,Mathematics,,Old Harbour Books & Stationary
1117,55,PRIME MATHEMATICS Coursebook 2,2,"$4,610.00 ",Books,Mathematics,,Old Harbour Books & Stationary
1118,56,Collins Mental Maths Ages 5-6,0,$779.00 ,Books,Mathematics,,Old Harbour Books & Stationary
1119,57,Collins Mental Maths Ages 8-9,13,"$1,045.00 ",Books,Mathematics,,Old Harbour Books & Stationary
1120,58,Collins Mental Maths Ages 10-11,8,"$3,767.00 ",Books,Mathematics,,Old Harbour Books & Stationary
1121,59,Collins Mental Maths Ages 6-7,0,"$2,917.00 ",Books,Mathematics,,Old Harbour Books & Stationary
1122,60,Collins Mental Maths Ages 7-8,2,$412.00 ,Books,Mathematics,,Old Harbour Books & Stationary
1123,61,Collins Phonics and Spelling 4-5,1,"$1,472.00 ",Books,Phonics,,Old Harbour Books & Stationary
1124,62,Collins Phonics and Spelling 9-10,0,"$2,291.00 ",Books,Phonics,,Old Harbour Books & Stationary
1125,63,Phonics and Spelling 10-11,0,$205.00 ,Books,Phonics,,Old Harbour Books & Stationary
1126,64,FIRST CHOICE COMPUTER WKBK2,3,"$3,515.00 ",Books,Computer,,Old Harbour Books & Stationary
1127,65,FIRST CHOICE COMPUTER WKBK 3,1,"$2,262.00 ",Books,Computer,,Old Harbour Books & Stationary
1128,66,FIRST CHOICE COMPUTER WKBK 5,3,"$4,501.00 ",Books,Computer,,Old Harbour Books & Stationary
1129,67,FIRST CHOICE COMPUTER 4,2,"$3,083.00 ",Books,Computer,,Old Harbour Books & Stationary
1130,68,Spanish Today Book3,6,"$2,302.00 ",Books,Spanish,,Old Harbour Books & Stationary
1131,69,Spanish Today Book 4,8,$951.00 ,Books,Spanish,,Old Harbour Books & Stationary
1132,70,Spanish Today Book 5,1,"$2,409.00 ",Books,Spanish,,Old Harbour Books & Stationary
1133,71,Spanish Today Book 6,8,"$3,300.00 ",Books,Spanish,,Old Harbour Books & Stationary
1134,72,Spanish Today Book2,0,"$2,040.00 ",Books,Spanish,,Old Harbour Books & Stationary
1135,73,SPELLING BEE,0,"$4,699.00 ",Books,Spelling,,Old Harbour Books & Stationary
1136,74,Spanish Today Book 1,4,"$3,848.00 ",Books,Spanish,,Old Harbour Books & Stationary
1137,75,Adventures Primary Mathematics Book 2,5,"$1,355.00 ",Books,Mathematics,,Old Harbour Books & Stationary
1138,76,PLASTIC TAB DIVIDERS,17,"$1,090.00 ",Stationery,Office and school supplies,,Old Harbour Books & Stationary
1139,77,2 Quire Book,0,"$2,310.00 ",Stationery,Notebook,,Old Harbour Books & Stationary
1140,78,3 Quire Book,0,$630.00 ,Stationery,Notebook,,Old Harbour Books & Stationary
1141,79,4 Quire Book,0,"$4,208.00 ",Stationery,Notebook,,Old Harbour Books & Stationary
1142,304,Get Ready To Learn TRM3 5 YRS,11,"$4,536.00 ",Books,,,Old Harbour Books & Stationary
1143,305,INTEGRATED WORK BOOK AG 4,8,$253.00 ,Books,Language Arts,,Old Harbour Books & Stationary
1144,306,GET READY TO LEARN TERM 1 5YRS,21,"$1,470.00 ",Books,,,Old Harbour Books & Stationary
1145,307,Get Ready To Learn Transportation TRM2 5 YRS,1,"$3,131.00 ",Books,,,Old Harbour Books & Stationary
1146,308,Get Ready To Learn TRM3 5 YRS,7,"$2,756.00 ",Books,,,Old Harbour Books & Stationary
1147,309,Way to reading integrated Pre reader,7,"$3,264.00 ",Books,Reading ,,Old Harbour Books & Stationary
1148,310,The Way to Reading Book 1,9,"$3,049.00 ",Books,Reading ,,Old Harbour Books & Stationary
1149,311,The way to shapes colouring,13,"$4,061.00 ",Books,Colouring,,Old Harbour Books & Stationary
1150,312,The Way to Art - Using Colours,10,"$1,598.00 ",Books,Colouring,,Old Harbour Books & Stationary
1151,313,The way to Writing Drawing,9,"$2,305.00 ",Books,Drawing,,Old Harbour Books & Stationary
1152,314,Way to Writing book 1,6,"$2,597.00 ",Books,Language Arts,,Old Harbour Books & Stationary
1153,315,The Way to Numbers,8,"$4,637.00 ",Books,Mathematics,,Old Harbour Books & Stationary
1154,316,Rainbow Readers Family & Friends Yr 1 Reader 1,4,"$3,692.00 ",Books,Reading ,,Old Harbour Books & Stationary
1155,14,Leaning the Smart Way,0,"$3,367.00 ",Books,Reading ,,Old Harbour Books & Stationary
1156,15,Integrated Reader 1,10,"$4,648.00 ",Books,Reading ,,Old Harbour Books & Stationary
1157,16,Reading the Smart Way,11,"$2,656.00 ",Books,Reading ,,Old Harbour Books & Stationary
1158,17,Integrated Reader 2,21,"$4,178.00 ",Books,Reading ,,Old Harbour Books & Stationary
1159,18,FUN WITH READING,1,"$1,621.00 ",Books,Reading ,,Old Harbour Books & Stationary
1160,19,Fun With Language Arts Workbook,10,"$3,820.00 ",Books,Language Arts,,Old Harbour Books & Stationary
